steroid,administration,half-life,anabolic/androgenic_ratio,common_dosage_(mg/day_or_mg/week),potential_side_effects,detection_time,legality_(usa),typical_use,water_retention,aromatization_potential,hepatotoxicity,water_retention_severity,estrogen_conversion_risk,anabolic_potency,androgenic_potency,appetite_stimulation,aggression_elevation,fat_loss_promotion,joint_support,libido_effects
Dianabol (Methandrostenolone),Oral,4-6 hours,90-210:40-60,20-50mg/day,"Water retention, gynecomastia",5-6 weeks,Illegal,Bulking,High,High,No,Moderate,Yes,Moderate,Low,Yes,Moderate,Moderate,Yes,Increased
Anadrol (Oxymetholone),Oral,9 hours,1900-01-13 08:45:00,50-150mg/day,"Water retention, liver toxicity",8 weeks,Illegal,Bulking,High,Low,No,None,No,Moderate,Moderate,No,Low,Yes,No,Neutral
Winstrol (Stanozolol),Oral,9 hours,1900-01-13 08:30:00,25-50mg/day,"Joint pain, liver toxicity",3-4 weeks,Illegal,Cutting,Low,None,No,None,No,Moderate,Moderate,No,Low,Yes,No,Neutral
Turinabol (Chlorodehydromethyltestosterone),Oral,16 hours,1900-01-02 06:06:00,20-50mg/day,"Liver toxicity, cholesterol imbalance",6 weeks,Illegal,Cutting,Low,None,Yes,Moderate,Yes,High,Moderate,Yes,Moderate,No,Yes,Increased
Anavar (Oxandrolone),Oral,9 hours,322-630:24,20-80mg/day,"Hair loss, liver toxicity",3 weeks,Illegal,Cutting,Low,None,No,None,No,Very High,Very High,Yes,High,Yes,No,Increased
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900:850,10-40mg/day,"Aggression, liver toxicity",2 months,Illegal,Strength,Low,None,No,None,No,Very High,Very High,Yes,High,Yes,No,Increased
Proviron (Mesterolone),Oral,12 hours,100-150:30-40,25-50mg/day,"Low libido, cholesterol issues",5-6 weeks,Legal (prescription),Cutting,None,None,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Methyltestosterone,Oral,6-12 hours,1900-01-04 19:45:00,20-50mg/day,"Liver toxicity, aggression",6 weeks,Illegal,Bulking,High,High,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Superdrol (Methyldrostanolone),Oral,8-10 hours,1900-01-16 16:20:00,10-30mg/day,"Liver toxicity, aggression",8 weeks,Illegal,Cutting,None,None,Yes,High,Yes,Moderate,Moderate,Yes,Moderate,Moderate,No,Increased
Epistane (Methylepitiostanol),Oral,6 hours,1100:91,10-30mg/day,"Liver toxicity, cholesterol issues",6 weeks,Illegal,Cutting,None,None,No,None,No,Low,Low,No,Low,Yes,No,Neutral
