Steroid,Administration,Half-life,Anabolic/Androgenic Ratio,Common Dosage (mg/day or mg/week),Potential Side Effects,Detection Time,Legality (USA),Typical Use,Water Retention,Aromatization Potential,Hepatotoxicity,Water Retention Severity,Estrogen Conversion Risk,Anabolic Potency,Androgenic Potency,Appetite Stimulation,Aggression Elevation,Fat Loss Promotion,Joint Support,Libido Effects
Dianabol (Methandrostenolone),Oral,4-6 hours,90-210:40-60,20-50mg/day,"Water retention, gynecomastia",5-6 weeks,Illegal,Bulking,High,High,Yes,High,Yes,Moderate,Moderate,No,High,Yes,No,Increased
Anadrol (Oxymetholone),Oral,9 hours,320:45,50-150mg/day,"Water retention, liver toxicity",8 weeks,Illegal,Bulking,High,Low,Yes,High,No,High,Moderate,Yes,High,No,Yes,Increased
Winstrol (Stanozolol),Oral,9 hours,320:30,25-50mg/day,"Joint pain, liver toxicity",3-4 weeks,Illegal,Cutting,Low,None,Yes,Low,No,High,Low,No,Moderate,Yes,No,Neutral
Turinabol (Chlorodehydromethyltestosterone),Oral,16 hours,54:6,20-50mg/day,"Liver toxicity, cholesterol imbalance",6 weeks,Illegal,Cutting,Low,None,Yes,Low,No,Moderate,Low,No,Low,Moderate,No,Neutral
Anavar (Oxandrolone),Oral,9 hours,322-630:24,20-80mg/day,"Hair loss, liver toxicity",3 weeks,Illegal,Cutting,Low,None,Yes,Low,No,Moderate,Low,No,Low,High,No,Neutral
Halotestin (Fluoxymesterone),Oral,9.5 hours,1900:850,10-40mg/day,"Aggression, liver toxicity",2 months,Illegal,Strength,Low,None,Yes,Low,No,Very High,Very High,No,High,No,No,Decreased
Proviron (Mesterolone),Oral,12 hours,100-150:30-40,25-50mg/day,"Low libido, cholesterol issues",5-6 weeks,Legal (prescription),Cutting,None,None,No,None,No,Moderate,Low,No,Low,Yes,No,Increased
Methyltestosterone,Oral,6-12 hours,115:45,20-50mg/day,"Liver toxicity, aggression",6 weeks,Illegal,Bulking,High,High,Yes,High,Yes,Moderate,Moderate,No,High,No,No,Decreased
Superdrol (Methyldrostanolone),Oral,8-10 hours,400:20,10-30mg/day,"Liver toxicity, aggression",8 weeks,Illegal,Cutting,None,None,Yes,None,No,Very High,Low,No,High,Yes,No,Neutral
Epistane (Methylepitiostanol),Oral,6 hours,1100:91,10-30mg/day,"Liver toxicity, cholesterol issues",6 weeks,Illegal,Cutting,None,None,Yes,None,No,High,Low,No,Moderate,Moderate,No,Neutral
